quality,quality,quality,quality,quality,quality,quality,quality,temperature,temperature,temperature,temperature,temperature,temperature,temperature,temperature,humidity,humidity,humidity,humidity,humidity,humidity,humidity,humidity
count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,10.658105022831077,7.061645805496752,-9.1,5.5,9.8,15.4,36.4,8760.0,80.29908675799086,17.060292780559983,17.0,71.0,85.0,94.0,100.0
2064.0,1.302325581395349,0.7165885807029346,1.0,1.0,1.0,1.0,3.0,2064.0,5.845978682170532,3.284321856153058,-3.2,3.7,5.8,7.925000000000001,16.9,2064.0,82.02277131782945,13.811555113472162,24.0,75.0,85.0,93.0,100.0
8783.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8783.0,8.426414664693164,7.990062233079039,-11.4,2.2,8.0,13.9,32.2,8783.0,78.6393031993624,17.882805408543746,13.0,68.0,85.0,93.0,99.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,8.611461187214571,6.43157676893969,-6.5,3.5,8.5,13.5,28.5,8760.0,82.17796803652968,14.60813460062554,31.0,74.0,87.0,93.0,99.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,7.911655251141608,7.2158449795665245,-19.6,2.6,8.4,12.8,30.2,8760.0,82.46095890410959,14.745690816027285,27.0,75.0,88.0,94.0,99.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,7.321883561643804,7.854337032524492,-18.4,1.7,7.4,13.4,30.5,8760.0,82.93356164383562,14.482807807402434,21.0,75.0,88.0,95.0,99.0
8784.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8784.0,7.717850637522713,7.463930046469486,-15.5,1.7,8.0,13.4,28.8,8784.0,82.95867486338798,15.424207671098227,27.0,75.0,88.0,96.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,8.239486301369888,7.778185980908208,-18.6,2.4,8.5,14.1,29.9,8760.0,84.88664383561644,15.81032841068037,26.0,77.0,92.0,97.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,8.917659817351545,7.9197111174486885,-20.7,3.5,8.9,14.325000000000001,31.6,8760.0,82.6101598173516,18.102887740832404,24.0,72.0,90.0,98.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,9.40655251141544,7.535075069711095,-15.6,4.2,9.2,14.2,31.9,8760.0,82.76267123287671,18.289048057656178,23.0,73.0,90.0,98.0,100.0
8784.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8784.0,8.318328779599277,6.710035622563577,-8.4,2.6750000000000003,8.7,13.1,29.7,8784.0,85.94842896174863,16.59187085783589,21.0,77.75,94.0,99.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,7.198184931506819,8.196307642623756,-19.6,1.5,8.1,13.2,29.8,8760.0,84.66723744292237,15.758600357642367,23.0,76.0,91.0,97.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,7.822100456621014,8.097032006540712,-20.2,2.6,8.2,13.2,31.9,8760.0,82.72876712328767,17.49157496439723,25.0,72.0,90.0,97.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,7.033869863013649,7.816169381681351,-19.9,2.0,7.9,12.7,29.0,8760.0,84.51917808219179,16.262695263409793,22.0,76.0,91.0,97.0,100.0
1.0,3.0,,3.0,3.0,3.0,3.0,3.0,1.0,7.6,,7.6,7.6,7.6,7.6,7.6,1.0,89.0,,89.0,89.0,89.0,89.0,89.0
744.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,744.0,-0.7237903225806451,5.487277455889606,-20.4,-4.525,0.3,3.0,8.7,744.0,85.45161290322581,8.895101110981496,43.0,81.0,87.0,92.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,6.847682648401831,8.532783952597526,-15.0,0.4,7.0,12.9,31.3,8760.0,77.62888127853881,16.640001669424674,19.0,69.0,83.0,90.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,8.74118721461183,7.703444662642339,-13.0,2.7,8.7,14.5,31.4,8760.0,75.25970319634703,18.527966830819164,9.0,63.0,80.0,90.0,100.0
8784.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8784.0,8.084278233151162,8.465889112934445,-18.6,2.6,8.2,14.3,31.5,8784.0,79.00250455373406,17.726970072125813,14.0,68.0,84.0,93.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,7.550273972602767,8.293413792584015,-12.0,0.7,7.7,13.4,32.7,8760.0,81.54178082191781,16.448838880478696,20.0,73.0,86.0,94.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,9.207910958904097,6.641169738198006,-15.9,3.8,9.2,14.1,32.4,8760.0,80.41392694063927,18.12150608710148,18.0,69.0,86.0,95.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,9.098892694063926,8.017517492366132,-10.4,2.7,8.8,14.4,33.7,8760.0,75.61381278538813,18.897783370260132,13.0,63.0,81.0,92.0,100.0
8783.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8783.0,8.421621313901849,7.732253018819153,-11.3,2.3,7.7,14.05,31.1,8783.0,81.7147899351019,16.586682340423206,24.0,72.0,87.0,95.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,8.544988584474904,8.380527503531852,-16.7,2.0,8.3,14.7,30.6,8760.0,79.29006849315068,18.10079457476406,18.0,68.0,85.0,94.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,9.424189497716887,8.530191401351662,-16.1,2.7,9.4,15.9,32.0,8760.0,76.95924657534246,18.192211338284267,20.0,65.0,82.0,92.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8759.0,8.967359287589941,7.898819204786645,-9.7,2.7,8.5,14.5,33.3,8759.0,74.858088822925,18.407340036189723,10.0,63.5,80.0,89.0,100.0
6600.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,6600.0,11.4427727272727,8.080956637031528,-8.8,5.1,12.1,16.9,34.9,6600.0,77.82787878787879,18.966805972348105,16.0,67.0,85.0,93.0,100.0
8783.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8783.0,9.33038825002847,8.030999772247737,-11.3,2.7,8.3,15.3,31.7,8783.0,80.78720255038142,16.423307759256573,17.0,71.0,86.0,94.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,9.078390410958884,8.852198090904933,-15.4,2.3,9.1,15.8,33.8,8760.0,81.37796803652968,16.391103974762657,19.0,73.0,88.0,94.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,8.210342465753385,9.24022144287391,-19.5,0.7,8.7,14.8,33.9,8760.0,82.61712328767123,16.64626238287218,15.0,74.0,88.0,95.0,100.0
8726.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8726.0,9.445267018106847,8.497628454113874,-12.0,2.1,9.3,15.8,34.4,8705.0,82.90614589316485,18.438460596844187,19.0,72.0,90.0,98.0,100.0
8702.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8582.0,9.16912141691913,8.921859156946784,-18.0,2.8,8.5,15.7,34.7,8582.0,83.47273362852482,17.779611057583537,20.0,74.0,90.0,99.0,100.0
8703.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8701.0,9.120319503505405,8.687979458442515,-11.2,1.8,8.8,15.0,35.5,8701.0,85.27134812090564,16.901745632101342,20.0,77.0,92.0,99.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,10.237933789954353,7.480235895746258,-15.5,4.2,9.9,15.4,34.1,8760.0,84.97922374429224,16.876779609905213,23.0,77.0,92.0,98.0,100.0
8667.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8661.0,10.21910864796209,8.603337122547225,-10.2,3.1,9.6,15.9,36.7,8655.0,80.83177354130561,18.32427224607555,17.0,70.0,87.0,96.0,100.0
8742.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8741.0,9.516794417114728,8.26606496728818,-15.8,3.1,8.7,15.5,33.4,8724.0,83.11279229711141,15.678520500597827,24.0,75.0,89.0,95.0,100.0
8748.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8748.0,9.423525377229074,9.02884126975572,-20.1,2.8,9.2,15.8,34.2,8744.0,80.19041628545288,16.79874601428264,21.0,70.0,86.0,94.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8715.0,10.78681583476766,9.063985532416766,-14.0,3.0,10.6,17.4,35.4,8715.0,78.62030981067126,18.777371896424874,25.0,66.0,84.0,95.0,100.0
